PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VCX;29/01/26 17h51;Simulazione 384_0_200;
Simulation date;;29/01/26 17h52

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;-0.0192
01/01/90 01:00;-0.0192
01/01/90 02:00;-0.0192
01/01/90 03:00;-0.0192
01/01/90 04:00;-0.0192
01/01/90 05:00;-0.0192
01/01/90 06:00;-0.0192
01/01/90 07:00;-0.0192
01/01/90 08:00;9.2441
01/01/90 09:00;18.542
01/01/90 10:00;27.476
01/01/90 11:00;30.429
01/01/90 12:00;29.68
01/01/90 13:00;22.453
01/01/90 14:00;16.664
01/01/90 15:00;8.7017
01/01/90 16:00;-0.0192
01/01/90 17:00;-0.0192
01/01/90 18:00;-0.0192
01/01/90 19:00;-0.0192
01/01/90 20:00;-0.0192
01/01/90 21:00;-0.0192
01/01/90 22:00;-0.0192
01/01/90 23:00;-0.0192
02/01/90 00:00;-0.0192
02/01/90 01:00;-0.0192
02/01/90 02:00;-0.0192
02/01/90 03:00;-0.0192
02/01/90 04:00;-0.0192
02/01/90 05:00;-0.0192
02/01/90 06:00;-0.0192
02/01/90 07:00;0.5619
02/01/90 08:00;12.625
02/01/90 09:00;30.812
02/01/90 10:00;68.203
02/01/90 11:00;108.33
02/01/90 12:00;89.651
02/01/90 13:00;18.724
02/01/90 14:00;4.5291
02/01/90 15:00;1.8481
02/01/90 16:00;-0.0192
02/01/90 17:00;-0.0192
02/01/90 18:00;-0.0192
02/01/90 19:00;-0.0192
02/01/90 20:00;-0.0192
02/01/90 21:00;-0.0192
02/01/90 22:00;-0.0192
02/01/90 23:00;-0.0192
03/01/90 00:00;-0.0192
03/01/90 01:00;-0.0192
03/01/90 02:00;-0.0192
03/01/90 03:00;-0.0192
03/01/90 04:00;-0.0192
03/01/90 05:00;-0.0192
03/01/90 06:00;-0.0192
03/01/90 07:00;-0.0192
03/01/90 08:00;23.319
03/01/90 09:00;58.337
03/01/90 10:00;85.159
03/01/90 11:00;99.092
03/01/90 12:00;99.491
03/01/90 13:00;87.448
03/01/90 14:00;62.675
03/01/90 15:00;29.381
03/01/90 16:00;0.6838
03/01/90 17:00;-0.0192
03/01/90 18:00;-0.0192
03/01/90 19:00;-0.0192
03/01/90 20:00;-0.0192
03/01/90 21:00;-0.0192
03/01/90 22:00;-0.0192
03/01/90 23:00;-0.0192
04/01/90 00:00;-0.0192
04/01/90 01:00;-0.0192
04/01/90 02:00;-0.0192
04/01/90 03:00;-0.0192
04/01/90 04:00;-0.0192
04/01/90 05:00;-0.0192
04/01/90 06:00;-0.0192
04/01/90 07:00;-0.0192
04/01/90 08:00;20.157
04/01/90 09:00;51.887
04/01/90 10:00;74.154
04/01/90 11:00;88.192
04/01/90 12:00;90.92
04/01/90 13:00;79.388
04/01/90 14:00;60.704
04/01/90 15:00;26.969
04/01/90 16:00;0.897
04/01/90 17:00;-0.0192
04/01/90 18:00;-0.0192
04/01/90 19:00;-0.0192
04/01/90 20:00;-0.0192
04/01/90 21:00;-0.0192
04/01/90 22:00;-0.0192
04/01/90 23:00;-0.0192
05/01/90 00:00;-0.0192
05/01/90 01:00;-0.0192
05/01/90 02:00;-0.0192
05/01/90 03:00;-0.0192
05/01/90 04:00;-0.0192
05/01/90 05:00;-0.0192
05/01/90 06:00;-0.0192
05/01/90 07:00;-0.0192
05/01/90 08:00;23.779
05/01/90 09:00;50.132
05/01/90 10:00;63.175
05/01/90 11:00;60.905
05/01/90 12:00;75.836
05/01/90 13:00;66.866
05/01/90 14:00;38.618
05/01/90 15:00;31.76
05/01/90 16:00;2.9549
05/01/90 17:00;-0.0192
05/01/90 18:00;-0.0192
05/01/90 19:00;-0.0192
05/01/90 20:00;-0.0192
05/01/90 21:00;-0.0192
05/01/90 22:00;-0.0192
05/01/90 23:00;-0.0192
06/01/90 00:00;-0.0192
06/01/90 01:00;-0.0192
06/01/90 02:00;-0.0192
06/01/90 03:00;-0.0192
06/01/90 04:00;-0.0192
06/01/90 05:00;-0.0192
06/01/90 06:00;-0.0192
06/01/90 07:00;-0.0192
06/01/90 08:00;1.7061
06/01/90 09:00;3.6983
06/01/90 10:00;20.574
06/01/90 11:00;10.125
06/01/90 12:00;13.247
06/01/90 13:00;74.447
06/01/90 14:00;57.082
06/01/90 15:00;32.056
06/01/90 16:00;1.6338
06/01/90 17:00;-0.0192
06/01/90 18:00;-0.0192
06/01/90 19:00;-0.0192
06/01/90 20:00;-0.0192
06/01/90 21:00;-0.0192
06/01/90 22:00;-0.0192
06/01/90 23:00;-0.0192
