PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VCQ;29/01/26 17h35;Simulazione 440_10_250;
Simulation date;;29/01/26 17h35

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;-0.024
01/01/90 01:00;-0.024
01/01/90 02:00;-0.024
01/01/90 03:00;-0.024
01/01/90 04:00;-0.024
01/01/90 05:00;-0.024
01/01/90 06:00;-0.024
01/01/90 07:00;-0.024
01/01/90 08:00;10.517
01/01/90 09:00;21.239
01/01/90 10:00;31.637
01/01/90 11:00;34.941
01/01/90 12:00;33.962
01/01/90 13:00;25.443
01/01/90 14:00;18.801
01/01/90 15:00;9.7053
01/01/90 16:00;-0.024
01/01/90 17:00;-0.024
01/01/90 18:00;-0.024
01/01/90 19:00;-0.024
01/01/90 20:00;-0.024
01/01/90 21:00;-0.024
01/01/90 22:00;-0.024
01/01/90 23:00;-0.024
02/01/90 00:00;-0.024
02/01/90 01:00;-0.024
02/01/90 02:00;-0.024
02/01/90 03:00;-0.024
02/01/90 04:00;-0.024
02/01/90 05:00;-0.024
02/01/90 06:00;-0.024
02/01/90 07:00;0.3573
02/01/90 08:00;15.294
02/01/90 09:00;40.644
02/01/90 10:00;102.34
02/01/90 11:00;158.26
02/01/90 12:00;128.45
02/01/90 13:00;21.04
02/01/90 14:00;4.7761
02/01/90 15:00;1.8
02/01/90 16:00;-0.024
02/01/90 17:00;-0.024
02/01/90 18:00;-0.024
02/01/90 19:00;-0.024
02/01/90 20:00;-0.024
02/01/90 21:00;-0.024
02/01/90 22:00;-0.024
02/01/90 23:00;-0.024
03/01/90 00:00;-0.024
03/01/90 01:00;-0.024
03/01/90 02:00;-0.024
03/01/90 03:00;-0.024
03/01/90 04:00;-0.024
03/01/90 05:00;-0.024
03/01/90 06:00;-0.024
03/01/90 07:00;-0.024
03/01/90 08:00;54.204
03/01/90 09:00;103.13
03/01/90 10:00;134.91
03/01/90 11:00;150.03
03/01/90 12:00;148.32
03/01/90 13:00;131.3
03/01/90 14:00;98.537
03/01/90 15:00;51.839
03/01/90 16:00;0.5453
03/01/90 17:00;-0.024
03/01/90 18:00;-0.024
03/01/90 19:00;-0.024
03/01/90 20:00;-0.024
03/01/90 21:00;-0.024
03/01/90 22:00;-0.024
03/01/90 23:00;-0.024
04/01/90 00:00;-0.024
04/01/90 01:00;-0.024
04/01/90 02:00;-0.024
04/01/90 03:00;-0.024
04/01/90 04:00;-0.024
04/01/90 05:00;-0.024
04/01/90 06:00;-0.024
04/01/90 07:00;-0.024
04/01/90 08:00;44.431
04/01/90 09:00;91.465
04/01/90 10:00;117.19
04/01/90 11:00;133.88
04/01/90 12:00;135.61
04/01/90 13:00;119.58
04/01/90 14:00;94.232
04/01/90 15:00;47.092
04/01/90 16:00;0.7788
04/01/90 17:00;-0.024
04/01/90 18:00;-0.024
04/01/90 19:00;-0.024
04/01/90 20:00;-0.024
04/01/90 21:00;-0.024
04/01/90 22:00;-0.024
04/01/90 23:00;-0.024
05/01/90 00:00;-0.024
05/01/90 01:00;-0.024
05/01/90 02:00;-0.024
05/01/90 03:00;-0.024
05/01/90 04:00;-0.024
05/01/90 05:00;-0.024
05/01/90 06:00;-0.024
05/01/90 07:00;-0.024
05/01/90 08:00;48.78
05/01/90 09:00;82.667
05/01/90 10:00;91.833
05/01/90 11:00;80.886
05/01/90 12:00;108.15
05/01/90 13:00;95.837
05/01/90 14:00;51.543
05/01/90 15:00;48.876
05/01/90 16:00;3.161
05/01/90 17:00;-0.024
05/01/90 18:00;-0.024
05/01/90 19:00;-0.024
05/01/90 20:00;-0.024
05/01/90 21:00;-0.024
05/01/90 22:00;-0.024
05/01/90 23:00;-0.024
06/01/90 00:00;-0.024
06/01/90 01:00;-0.024
06/01/90 02:00;-0.024
06/01/90 03:00;-0.024
06/01/90 04:00;-0.024
06/01/90 05:00;-0.024
06/01/90 06:00;-0.024
06/01/90 07:00;-0.024
06/01/90 08:00;1.5618
06/01/90 09:00;3.8011
06/01/90 10:00;23.245
06/01/90 11:00;11.14
06/01/90 12:00;14.686
06/01/90 13:00;102.62
06/01/90 14:00;88.183
06/01/90 15:00;52.52
06/01/90 16:00;1.6209
06/01/90 17:00;-0.024
06/01/90 18:00;-0.024
06/01/90 19:00;-0.024
06/01/90 20:00;-0.024
06/01/90 21:00;-0.024
06/01/90 22:00;-0.024
06/01/90 23:00;-0.024
07/01/90 00:00;-0.024
07/01/90 01:00;-0.024
07/01/90 02:00;-0.024
07/01/90 03:00;-0.024
07/01/90 04:00;-0.024
07/01/90 05:00;-0.024
