PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VCR;29/01/26 17h36;Simulazione 440_20_250;
Simulation date;;29/01/26 17h37

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;-0.024
01/01/90 01:00;-0.024
01/01/90 02:00;-0.024
01/01/90 03:00;-0.024
01/01/90 04:00;-0.024
01/01/90 05:00;-0.024
01/01/90 06:00;-0.024
01/01/90 07:00;-0.024
01/01/90 08:00;10.159
01/01/90 09:00;20.656
01/01/90 10:00;30.996
01/01/90 11:00;34.14
01/01/90 12:00;33.074
01/01/90 13:00;24.552
01/01/90 14:00;18.069
01/01/90 15:00;9.234
01/01/90 16:00;-0.024
01/01/90 17:00;-0.024
01/01/90 18:00;-0.024
01/01/90 19:00;-0.024
01/01/90 20:00;-0.024
01/01/90 21:00;-0.024
01/01/90 22:00;-0.024
01/01/90 23:00;-0.024
02/01/90 00:00;-0.024
02/01/90 01:00;-0.024
02/01/90 02:00;-0.024
02/01/90 03:00;-0.024
02/01/90 04:00;-0.024
02/01/90 05:00;-0.024
02/01/90 06:00;-0.024
02/01/90 07:00;-0.024
02/01/90 08:00;15.228
02/01/90 09:00;43.256
02/01/90 10:00;121.82
02/01/90 11:00;184.71
02/01/90 12:00;148.47
02/01/90 13:00;20.14
02/01/90 14:00;4.3352
02/01/90 15:00;1.5188
02/01/90 16:00;-0.024
02/01/90 17:00;-0.024
02/01/90 18:00;-0.024
02/01/90 19:00;-0.024
02/01/90 20:00;-0.024
02/01/90 21:00;-0.024
02/01/90 22:00;-0.024
02/01/90 23:00;-0.024
03/01/90 00:00;-0.024
03/01/90 01:00;-0.024
03/01/90 02:00;-0.024
03/01/90 03:00;-0.024
03/01/90 04:00;-0.024
03/01/90 05:00;-0.024
03/01/90 06:00;-0.024
03/01/90 07:00;-0.024
03/01/90 08:00;59.614
03/01/90 09:00;122.49
03/01/90 10:00;164.75
03/01/90 11:00;178.55
03/01/90 12:00;175.06
03/01/90 13:00;156.11
03/01/90 14:00;120.22
03/01/90 15:00;68.159
03/01/90 16:00;0.3569
03/01/90 17:00;-0.024
03/01/90 18:00;-0.024
03/01/90 19:00;-0.024
03/01/90 20:00;-0.024
03/01/90 21:00;-0.024
03/01/90 22:00;-0.024
03/01/90 23:00;-0.024
04/01/90 00:00;-0.024
04/01/90 01:00;-0.024
04/01/90 02:00;-0.024
04/01/90 03:00;-0.024
04/01/90 04:00;-0.024
04/01/90 05:00;-0.024
04/01/90 06:00;-0.024
04/01/90 07:00;-0.024
04/01/90 08:00;49.572
04/01/90 09:00;108.96
04/01/90 10:00;143.27
04/01/90 11:00;159.89
04/01/90 12:00;160.35
04/01/90 13:00;142.63
04/01/90 14:00;114.3
04/01/90 15:00;61.643
04/01/90 16:00;0.5736
04/01/90 17:00;-0.024
04/01/90 18:00;-0.024
04/01/90 19:00;-0.024
04/01/90 20:00;-0.024
04/01/90 21:00;-0.024
04/01/90 22:00;-0.024
04/01/90 23:00;-0.024
05/01/90 00:00;-0.024
05/01/90 01:00;-0.024
05/01/90 02:00;-0.024
05/01/90 03:00;-0.024
05/01/90 04:00;-0.024
05/01/90 05:00;-0.024
05/01/90 06:00;-0.024
05/01/90 07:00;-0.024
05/01/90 08:00;53.982
05/01/90 09:00;96.873
05/01/90 10:00;107.35
05/01/90 11:00;89.091
05/01/90 12:00;124.82
05/01/90 13:00;111.17
05/01/90 14:00;57.029
05/01/90 15:00;59.806
05/01/90 16:00;2.9354
05/01/90 17:00;-0.024
05/01/90 18:00;-0.024
05/01/90 19:00;-0.024
05/01/90 20:00;-0.024
05/01/90 21:00;-0.024
05/01/90 22:00;-0.024
05/01/90 23:00;-0.024
06/01/90 00:00;-0.024
06/01/90 01:00;-0.024
06/01/90 02:00;-0.024
06/01/90 03:00;-0.024
06/01/90 04:00;-0.024
06/01/90 05:00;-0.024
06/01/90 06:00;-0.024
06/01/90 07:00;-0.024
06/01/90 08:00;1.2557
06/01/90 09:00;3.3813
06/01/90 10:00;22.368
06/01/90 11:00;10.449
06/01/90 12:00;13.874
06/01/90 13:00;116.06
06/01/90 14:00;106.81
06/01/90 15:00;66.496
06/01/90 16:00;1.4223
06/01/90 17:00;-0.024
06/01/90 18:00;-0.024
06/01/90 19:00;-0.024
06/01/90 20:00;-0.024
06/01/90 21:00;-0.024
06/01/90 22:00;-0.024
06/01/90 23:00;-0.024
07/01/90 00:00;-0.024
07/01/90 01:00;-0.024
07/01/90 02:00;-0.024
07/01/90 03:00;-0.024
07/01/90 04:00;-0.024
07/01/90 05:00;-0.024
