PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VCH;29/01/26 17h13;Simulazione 504_20_300;
Simulation date;;29/01/26 17h14

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;-0.006
01/01/90 01:00;-0.006
01/01/90 02:00;-0.006
01/01/90 03:00;-0.006
01/01/90 04:00;-0.006
01/01/90 05:00;-0.006
01/01/90 06:00;-0.006
01/01/90 07:00;-0.006
01/01/90 08:00;11.152
01/01/90 09:00;23.169
01/01/90 10:00;35
01/01/90 11:00;38.637
01/01/90 12:00;37.432
01/01/90 13:00;27.682
01/01/90 14:00;20.251
01/01/90 15:00;10.146
01/01/90 16:00;-0.006
01/01/90 17:00;-0.006
01/01/90 18:00;-0.006
01/01/90 19:00;-0.006
01/01/90 20:00;-0.006
01/01/90 21:00;-0.006
01/01/90 22:00;-0.006
01/01/90 23:00;-0.006
02/01/90 00:00;-0.006
02/01/90 01:00;-0.006
02/01/90 02:00;-0.006
02/01/90 03:00;-0.006
02/01/90 04:00;-0.006
02/01/90 05:00;-0.006
02/01/90 06:00;-0.006
02/01/90 07:00;-0.006
02/01/90 08:00;16.727
02/01/90 09:00;48.115
02/01/90 10:00;129.55
02/01/90 11:00;203.52
02/01/90 12:00;166.82
02/01/90 13:00;22.627
02/01/90 14:00;4.6539
02/01/90 15:00;1.5938
02/01/90 16:00;-0.006
02/01/90 17:00;-0.006
02/01/90 18:00;-0.006
02/01/90 19:00;-0.006
02/01/90 20:00;-0.006
02/01/90 21:00;-0.006
02/01/90 22:00;-0.006
02/01/90 23:00;-0.006
03/01/90 00:00;-0.006
03/01/90 01:00;-0.006
03/01/90 02:00;-0.006
03/01/90 03:00;-0.006
03/01/90 04:00;-0.006
03/01/90 05:00;-0.006
03/01/90 06:00;-0.006
03/01/90 07:00;-0.006
03/01/90 08:00;62.102
03/01/90 09:00;132.55
03/01/90 10:00;171.15
03/01/90 11:00;195.27
03/01/90 12:00;195.64
03/01/90 13:00;179.92
03/01/90 14:00;135.58
03/01/90 15:00;69.776
03/01/90 16:00;0.3061
03/01/90 17:00;-0.006
03/01/90 18:00;-0.006
03/01/90 19:00;-0.006
03/01/90 20:00;-0.006
03/01/90 21:00;-0.006
03/01/90 22:00;-0.006
03/01/90 23:00;-0.006
04/01/90 00:00;-0.006
04/01/90 01:00;-0.006
04/01/90 02:00;-0.006
04/01/90 03:00;-0.006
04/01/90 04:00;-0.006
04/01/90 05:00;-0.006
04/01/90 06:00;-0.006
04/01/90 07:00;-0.006
04/01/90 08:00;51.742
04/01/90 09:00;117.99
04/01/90 10:00;149.79
04/01/90 11:00;175.38
04/01/90 12:00;179.39
04/01/90 13:00;164.29
04/01/90 14:00;129.33
04/01/90 15:00;63.303
04/01/90 16:00;0.5426
04/01/90 17:00;-0.006
04/01/90 18:00;-0.006
04/01/90 19:00;-0.006
04/01/90 20:00;-0.006
04/01/90 21:00;-0.006
04/01/90 22:00;-0.006
04/01/90 23:00;-0.006
05/01/90 00:00;-0.006
05/01/90 01:00;-0.006
05/01/90 02:00;-0.006
05/01/90 03:00;-0.006
05/01/90 04:00;-0.006
05/01/90 05:00;-0.006
05/01/90 06:00;-0.006
05/01/90 07:00;-0.006
05/01/90 08:00;56.69
05/01/90 09:00;105.79
05/01/90 10:00;115.11
05/01/90 11:00;99.893
05/01/90 12:00;140.57
05/01/90 13:00;127.74
05/01/90 14:00;64.649
05/01/90 15:00;63.197
05/01/90 16:00;3.1228
05/01/90 17:00;-0.006
05/01/90 18:00;-0.006
05/01/90 19:00;-0.006
05/01/90 20:00;-0.006
05/01/90 21:00;-0.006
05/01/90 22:00;-0.006
05/01/90 23:00;-0.006
06/01/90 00:00;-0.006
06/01/90 01:00;-0.006
06/01/90 02:00;-0.006
06/01/90 03:00;-0.006
06/01/90 04:00;-0.006
06/01/90 05:00;-0.006
06/01/90 06:00;-0.006
06/01/90 07:00;-0.006
06/01/90 08:00;1.3343
06/01/90 09:00;3.6243
06/01/90 10:00;25.159
06/01/90 11:00;11.542
06/01/90 12:00;15.456
06/01/90 13:00;133.34
06/01/90 14:00;122.4
06/01/90 15:00;69.36
06/01/90 16:00;1.479
06/01/90 17:00;-0.006
06/01/90 18:00;-0.006
06/01/90 19:00;-0.006
06/01/90 20:00;-0.006
06/01/90 21:00;-0.006
06/01/90 22:00;-0.006
06/01/90 23:00;-0.006
07/01/90 00:00;-0.006
07/01/90 01:00;-0.006
07/01/90 02:00;-0.006
07/01/90 03:00;-0.006
07/01/90 04:00;-0.006
07/01/90 05:00;-0.006
07/01/90 06:00;-0.006
