PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VCK;29/01/26 17h18;Simulazione 504_35_300;
Simulation date;;29/01/26 17h19

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;-0.006
01/01/90 01:00;-0.006
01/01/90 02:00;-0.006
01/01/90 03:00;-0.006
01/01/90 04:00;-0.006
01/01/90 05:00;-0.006
01/01/90 06:00;-0.006
01/01/90 07:00;-0.006
01/01/90 08:00;9.7842
01/01/90 09:00;20.722
01/01/90 10:00;31.736
01/01/90 11:00;35.107
01/01/90 12:00;33.899
01/01/90 13:00;24.677
01/01/90 14:00;17.921
01/01/90 15:00;8.788
01/01/90 16:00;-0.006
01/01/90 17:00;-0.006
01/01/90 18:00;-0.006
01/01/90 19:00;-0.006
01/01/90 20:00;-0.006
01/01/90 21:00;-0.006
01/01/90 22:00;-0.006
01/01/90 23:00;-0.006
02/01/90 00:00;-0.006
02/01/90 01:00;-0.006
02/01/90 02:00;-0.006
02/01/90 03:00;-0.006
02/01/90 04:00;-0.006
02/01/90 05:00;-0.006
02/01/90 06:00;-0.006
02/01/90 07:00;-0.006
02/01/90 08:00;15.245
02/01/90 09:00;46.481
02/01/90 10:00;133.58
02/01/90 11:00;210.9
02/01/90 12:00;176.63
02/01/90 13:00;19.927
02/01/90 14:00;3.6854
02/01/90 15:00;1.0581
02/01/90 16:00;-0.006
02/01/90 17:00;-0.006
02/01/90 18:00;-0.006
02/01/90 19:00;-0.006
02/01/90 20:00;-0.006
02/01/90 21:00;-0.006
02/01/90 22:00;-0.006
02/01/90 23:00;-0.006
03/01/90 00:00;-0.006
03/01/90 01:00;-0.006
03/01/90 02:00;-0.006
03/01/90 03:00;-0.006
03/01/90 04:00;-0.006
03/01/90 05:00;-0.006
03/01/90 06:00;-0.006
03/01/90 07:00;-0.006
03/01/90 08:00;69.252
03/01/90 09:00;135.66
03/01/90 10:00;175.67
03/01/90 11:00;202.82
03/01/90 12:00;207.8
03/01/90 13:00;188.49
03/01/90 14:00;144.37
03/01/90 15:00;74.584
03/01/90 16:00;-0.006
03/01/90 17:00;-0.006
03/01/90 18:00;-0.006
03/01/90 19:00;-0.006
03/01/90 20:00;-0.006
03/01/90 21:00;-0.006
03/01/90 22:00;-0.006
03/01/90 23:00;-0.006
04/01/90 00:00;-0.006
04/01/90 01:00;-0.006
04/01/90 02:00;-0.006
04/01/90 03:00;-0.006
04/01/90 04:00;-0.006
04/01/90 05:00;-0.006
04/01/90 06:00;-0.006
04/01/90 07:00;-0.006
04/01/90 08:00;57.187
04/01/90 09:00;121.11
04/01/90 10:00;155.08
04/01/90 11:00;183.8
04/01/90 12:00;191.39
04/01/90 13:00;173.49
04/01/90 14:00;137.68
04/01/90 15:00;67.77
04/01/90 16:00;0.2461
04/01/90 17:00;-0.006
04/01/90 18:00;-0.006
04/01/90 19:00;-0.006
04/01/90 20:00;-0.006
04/01/90 21:00;-0.006
04/01/90 22:00;-0.006
04/01/90 23:00;-0.006
05/01/90 00:00;-0.006
05/01/90 01:00;-0.006
05/01/90 02:00;-0.006
05/01/90 03:00;-0.006
05/01/90 04:00;-0.006
05/01/90 05:00;-0.006
05/01/90 06:00;-0.006
05/01/90 07:00;-0.006
05/01/90 08:00;61.757
05/01/90 09:00;108.2
05/01/90 10:00;117.7
05/01/90 11:00;101.45
05/01/90 12:00;149.58
05/01/90 13:00;134.31
05/01/90 14:00;65.678
05/01/90 15:00;66.009
05/01/90 16:00;2.5261
05/01/90 17:00;-0.006
05/01/90 18:00;-0.006
05/01/90 19:00;-0.006
05/01/90 20:00;-0.006
05/01/90 21:00;-0.006
05/01/90 22:00;-0.006
05/01/90 23:00;-0.006
06/01/90 00:00;-0.006
06/01/90 01:00;-0.006
06/01/90 02:00;-0.006
06/01/90 03:00;-0.006
06/01/90 04:00;-0.006
06/01/90 05:00;-0.006
06/01/90 06:00;-0.006
06/01/90 07:00;-0.006
06/01/90 08:00;0.5433
06/01/90 09:00;2.7945
06/01/90 10:00;22.296
06/01/90 11:00;9.8089
06/01/90 12:00;13.312
06/01/90 13:00;138.23
06/01/90 14:00;129.84
06/01/90 15:00;73.494
06/01/90 16:00;1.0096
06/01/90 17:00;-0.006
06/01/90 18:00;-0.006
06/01/90 19:00;-0.006
06/01/90 20:00;-0.006
06/01/90 21:00;-0.006
06/01/90 22:00;-0.006
06/01/90 23:00;-0.006
07/01/90 00:00;-0.006
07/01/90 01:00;-0.006
07/01/90 02:00;-0.006
07/01/90 03:00;-0.006
07/01/90 04:00;-0.006
07/01/90 05:00;-0.006
