PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VCA;29/01/26 16h52;Simulazione 540_40_320;
Simulation date;;29/01/26 16h52

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;0
01/01/90 01:00;0
01/01/90 02:00;0
01/01/90 03:00;0
01/01/90 04:00;0
01/01/90 05:00;0
01/01/90 06:00;0
01/01/90 07:00;0
01/01/90 08:00;9.4572
01/01/90 09:00;20.181
01/01/90 10:00;31.123
01/01/90 11:00;34.576
01/01/90 12:00;33.418
01/01/90 13:00;24.194
01/01/90 14:00;17.508
01/01/90 15:00;8.4874
01/01/90 16:00;0
01/01/90 17:00;0
01/01/90 18:00;0
01/01/90 19:00;0
01/01/90 20:00;0
01/01/90 21:00;0
01/01/90 22:00;0
01/01/90 23:00;0
02/01/90 00:00;0
02/01/90 01:00;0
02/01/90 02:00;0
02/01/90 03:00;0
02/01/90 04:00;0
02/01/90 05:00;0
02/01/90 06:00;0
02/01/90 07:00;0
02/01/90 08:00;14.644
02/01/90 09:00;43.317
02/01/90 10:00;126.5
02/01/90 11:00;188.48
02/01/90 12:00;167.37
02/01/90 13:00;19.465
02/01/90 14:00;3.4385
02/01/90 15:00;0.8939
02/01/90 16:00;0
02/01/90 17:00;0
02/01/90 18:00;0
02/01/90 19:00;0
02/01/90 20:00;0
02/01/90 21:00;0
02/01/90 22:00;0
02/01/90 23:00;0
03/01/90 00:00;0
03/01/90 01:00;0
03/01/90 02:00;0
03/01/90 03:00;0
03/01/90 04:00;0
03/01/90 05:00;0
03/01/90 06:00;0
03/01/90 07:00;0
03/01/90 08:00;59.055
03/01/90 09:00;112.12
03/01/90 10:00;162.58
03/01/90 11:00;175.4
03/01/90 12:00;191.44
03/01/90 13:00;180.79
03/01/90 14:00;123.88
03/01/90 15:00;72.011
03/01/90 16:00;0
03/01/90 17:00;0
03/01/90 18:00;0
03/01/90 19:00;0
03/01/90 20:00;0
03/01/90 21:00;0
03/01/90 22:00;0
03/01/90 23:00;0
04/01/90 00:00;0
04/01/90 01:00;0
04/01/90 02:00;0
04/01/90 03:00;0
04/01/90 04:00;0
04/01/90 05:00;0
04/01/90 06:00;0
04/01/90 07:00;0
04/01/90 08:00;49.881
04/01/90 09:00;100.52
04/01/90 10:00;144.23
04/01/90 11:00;160.2
04/01/90 12:00;176.36
04/01/90 13:00;167.34
04/01/90 14:00;118.95
04/01/90 15:00;65.504
04/01/90 16:00;0
04/01/90 17:00;0
04/01/90 18:00;0
04/01/90 19:00;0
04/01/90 20:00;0
04/01/90 21:00;0
04/01/90 22:00;0
04/01/90 23:00;0
05/01/90 00:00;0
05/01/90 01:00;0
05/01/90 02:00;0
05/01/90 03:00;0
05/01/90 04:00;0
05/01/90 05:00;0
05/01/90 06:00;0
05/01/90 07:00;0
05/01/90 08:00;54.533
05/01/90 09:00;92.909
05/01/90 10:00;111.56
05/01/90 11:00;96.015
05/01/90 12:00;142.16
05/01/90 13:00;131.65
05/01/90 14:00;61.281
05/01/90 15:00;64.477
05/01/90 16:00;2.3439
05/01/90 17:00;0
05/01/90 18:00;0
05/01/90 19:00;0
05/01/90 20:00;0
05/01/90 21:00;0
05/01/90 22:00;0
05/01/90 23:00;0
06/01/90 00:00;0
06/01/90 01:00;0
06/01/90 02:00;0
06/01/90 03:00;0
06/01/90 04:00;0
06/01/90 05:00;0
06/01/90 06:00;0
06/01/90 07:00;0
06/01/90 08:00;0.285
06/01/90 09:00;2.615
06/01/90 10:00;21.787
06/01/90 11:00;9.4547
06/01/90 12:00;12.901
06/01/90 13:00;136.27
06/01/90 14:00;112.61
06/01/90 15:00;71.319
06/01/90 16:00;0.8514
06/01/90 17:00;0
06/01/90 18:00;0
06/01/90 19:00;0
06/01/90 20:00;0
06/01/90 21:00;0
06/01/90 22:00;0
06/01/90 23:00;0
07/01/90 00:00;0
07/01/90 01:00;0
07/01/90 02:00;0
07/01/90 03:00;0
07/01/90 04:00;0
07/01/90 05:00;0
07/01/90 06:00;0
07/01/90 07:00;0
07/01/90 08:00;54.687
07/01/90 09:00;105.27
07/01/90 10:00;146.68
07/01/90 11:00;162.8
07/01/90 12:00;178.54
07/01/90 13:00;173.67
07/01/90 14:00;118.7
07/01/90 15:00;69.602
07/01/90 16:00;0.5891
07/01/90 17:00;0
07/01/90 18:00;0
07/01/90 19:00;0
07/01/90 20:00;0
07/01/90 21:00;0
07/01/90 22:00;0
07/01/90 23:00;0
08/01/90 00:00;0
08/01/90 01:00;0
08/01/90 02:00;0
08/01/90 03:00;0
08/01/90 04:00;0
08/01/90 05:00;0
