PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VCC;29/01/26 16h54;Simulazione 540_50_320;
Simulation date;;29/01/26 16h55

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;0
01/01/90 01:00;0
01/01/90 02:00;0
01/01/90 03:00;0
01/01/90 04:00;0
01/01/90 05:00;0
01/01/90 06:00;0
01/01/90 07:00;0
01/01/90 08:00;8.2278
01/01/90 09:00;17.87
01/01/90 10:00;27.829
01/01/90 11:00;30.953
01/01/90 12:00;29.865
01/01/90 13:00;21.39
01/01/90 14:00;15.366
01/01/90 15:00;7.2548
01/01/90 16:00;0
01/01/90 17:00;0
01/01/90 18:00;0
01/01/90 19:00;0
01/01/90 20:00;0
01/01/90 21:00;0
01/01/90 22:00;0
01/01/90 23:00;0
02/01/90 00:00;0
02/01/90 01:00;0
02/01/90 02:00;0
02/01/90 03:00;0
02/01/90 04:00;0
02/01/90 05:00;0
02/01/90 06:00;0
02/01/90 07:00;0
02/01/90 08:00;13.017
02/01/90 09:00;41.152
02/01/90 10:00;127.06
02/01/90 11:00;186.16
02/01/90 12:00;162.59
02/01/90 13:00;17.047
02/01/90 14:00;2.6883
02/01/90 15:00;0.4815
02/01/90 16:00;0
02/01/90 17:00;0
02/01/90 18:00;0
02/01/90 19:00;0
02/01/90 20:00;0
02/01/90 21:00;0
02/01/90 22:00;0
02/01/90 23:00;0
03/01/90 00:00;0
03/01/90 01:00;0
03/01/90 02:00;0
03/01/90 03:00;0
03/01/90 04:00;0
03/01/90 05:00;0
03/01/90 06:00;0
03/01/90 07:00;0
03/01/90 08:00;52.813
03/01/90 09:00;116.57
03/01/90 10:00;165.78
03/01/90 11:00;174.04
03/01/90 12:00;185.74
03/01/90 13:00;179.23
03/01/90 14:00;119.31
03/01/90 15:00;75.783
03/01/90 16:00;0
03/01/90 17:00;0
03/01/90 18:00;0
03/01/90 19:00;0
03/01/90 20:00;0
03/01/90 21:00;0
03/01/90 22:00;0
03/01/90 23:00;0
04/01/90 00:00;0
04/01/90 01:00;0
04/01/90 02:00;0
04/01/90 03:00;0
04/01/90 04:00;0
04/01/90 05:00;0
04/01/90 06:00;0
04/01/90 07:00;0
04/01/90 08:00;45.343
04/01/90 09:00;104.4
04/01/90 10:00;146.69
04/01/90 11:00;159.09
04/01/90 12:00;171.03
04/01/90 13:00;165.97
04/01/90 14:00;114.57
04/01/90 15:00;68.728
04/01/90 16:00;0
04/01/90 17:00;0
04/01/90 18:00;0
04/01/90 19:00;0
04/01/90 20:00;0
04/01/90 21:00;0
04/01/90 22:00;0
04/01/90 23:00;0
05/01/90 00:00;0
05/01/90 01:00;0
05/01/90 02:00;0
05/01/90 03:00;0
05/01/90 04:00;0
05/01/90 05:00;0
05/01/90 06:00;0
05/01/90 07:00;0
05/01/90 08:00;49.604
05/01/90 09:00;94.881
05/01/90 10:00;110.8
05/01/90 11:00;92.373
05/01/90 12:00;137.93
05/01/90 13:00;129.62
05/01/90 14:00;57.948
05/01/90 15:00;65.605
05/01/90 16:00;1.8322
05/01/90 17:00;0
05/01/90 18:00;0
05/01/90 19:00;0
05/01/90 20:00;0
05/01/90 21:00;0
05/01/90 22:00;0
05/01/90 23:00;0
06/01/90 00:00;0
06/01/90 01:00;0
06/01/90 02:00;0
06/01/90 03:00;0
06/01/90 04:00;0
06/01/90 05:00;0
06/01/90 06:00;0
06/01/90 07:00;0
06/01/90 08:00;0
06/01/90 09:00;1.967
06/01/90 10:00;19.165
06/01/90 11:00;8.0191
06/01/90 12:00;11.094
06/01/90 13:00;132.92
06/01/90 14:00;108.6
06/01/90 15:00;73.718
06/01/90 16:00;0.4748
06/01/90 17:00;0
06/01/90 18:00;0
06/01/90 19:00;0
06/01/90 20:00;0
06/01/90 21:00;0
06/01/90 22:00;0
06/01/90 23:00;0
07/01/90 00:00;0
07/01/90 01:00;0
07/01/90 02:00;0
07/01/90 03:00;0
07/01/90 04:00;0
07/01/90 05:00;0
07/01/90 06:00;0
07/01/90 07:00;0
07/01/90 08:00;49.627
07/01/90 09:00;109.61
07/01/90 10:00;148.61
07/01/90 11:00;161.35
07/01/90 12:00;172.48
07/01/90 13:00;171.28
07/01/90 14:00;114.16
07/01/90 15:00;72.771
07/01/90 16:00;0.2417
07/01/90 17:00;0
07/01/90 18:00;0
07/01/90 19:00;0
07/01/90 20:00;0
07/01/90 21:00;0
07/01/90 22:00;0
07/01/90 23:00;0
08/01/90 00:00;0
08/01/90 01:00;0
08/01/90 02:00;0
08/01/90 03:00;0
08/01/90 04:00;0
08/01/90 05:00;0
