PVSYST 8.0.19;;;;;;;;
;File;File date;Description;;;;;
Progetto;Prova casa_Project.PRJ;31/12/25 09h55;Casa mia;;;;;
Luogo geografico;Pordenone_MN82.SIT;31/12/25 09h55;Pordenone;Italy;Europe;;;
Dati meteo;Pordenone_MN82_SYN.MET;31/12/25 09h55;Pordenone;Meteonorm 8.2 (1992-2009), Sat=50%;Sintetico;;;
Variante di simulazione;Prova casa_Project.VC0;Invalido dato 0;0;0;0;0;0;Nuova variante di simulazione
Simulation date;;03/01/26 15h45;;;;;;
;;;;;;;;
Simulation:;Valori orari; dal 01/01/90; al 31/12/90 ;;;;;
;;;;;;;;
Numero inverter;3;;;;;;;
;;;;;;;;
data;E_Grid;;;;;;;
    ;kW;;;;;;;
;;;;;;;;
01/01/1990 00:00;0;;;;;;;
01/01/1990 01:00;0;;;;;;;
01/01/1990 02:00;0;;;;;;;
01/01/1990 03:00;0;;;;;;;
01/01/1990 04:00;0;;;;;;;
01/01/1990 05:00;0;;;;;;;
01/01/1990 06:00;0;;;;;;;
01/01/1990 07:00;0;;;;;;;
01/01/1990 08:00;0.6484;;;;;;;
01/01/1990 09:00;1.5446;;;;;;;
01/01/1990 10:00;2.044;;;;;;;
01/01/1990 11:00;2.3318;;;;;;;
01/01/1990 12:00;1.9195;;;;;;;
01/01/1990 13:00;1.6219;;;;;;;
01/01/1990 14:00;1.2275;;;;;;;
01/01/1990 15:00;0.5693;;;;;;;
01/01/1990 16:00;0;;;;;;;
01/01/1990 17:00;0;;;;;;;
01/01/1990 18:00;0;;;;;;;
01/01/1990 19:00;0;;;;;;;
01/01/1990 20:00;0;;;;;;;
01/01/1990 21:00;0;;;;;;;
01/01/1990 22:00;0;;;;;;;
01/01/1990 23:00;0;;;;;;;
02/01/1990 00:00;0;;;;;;;
02/01/1990 01:00;0;;;;;;;
02/01/1990 02:00;0;;;;;;;
02/01/1990 03:00;0;;;;;;;
02/01/1990 04:00;0;;;;;;;
02/01/1990 05:00;0;;;;;;;
02/01/1990 06:00;0;;;;;;;
02/01/1990 07:00;0;;;;;;;
02/01/1990 08:00;1.303;;;;;;;
02/01/1990 09:00;3.3363;;;;;;;
02/01/1990 10:00;3.5964;;;;;;;
02/01/1990 11:00;2.9556;;;;;;;
02/01/1990 12:00;2.5138;;;;;;;
02/01/1990 13:00;2.411;;;;;;;
02/01/1990 14:00;2.4083;;;;;;;
02/01/1990 15:00;1.4764;;;;;;;
02/01/1990 16:00;0;;;;;;;
02/01/1990 17:00;0;;;;;;;
02/01/1990 18:00;0;;;;;;;
02/01/1990 19:00;0;;;;;;;
02/01/1990 20:00;0;;;;;;;
02/01/1990 21:00;0;;;;;;;
02/01/1990 22:00;0;;;;;;;
02/01/1990 23:00;0;;;;;;;
03/01/1990 00:00;0;;;;;;;
03/01/1990 01:00;0;;;;;;;
03/01/1990 02:00;0;;;;;;;
03/01/1990 03:00;0;;;;;;;
03/01/1990 04:00;0;;;;;;;
03/01/1990 05:00;0;;;;;;;
03/01/1990 06:00;0;;;;;;;
03/01/1990 07:00;0;;;;;;;
03/01/1990 08:00;1.7532;;;;;;;
03/01/1990 09:00;3.8755;;;;;;;
03/01/1990 10:00;4.2684;;;;;;;
03/01/1990 11:00;3.7788;;;;;;;
03/01/1990 12:00;3.233;;;;;;;
03/01/1990 13:00;3.32;;;;;;;
03/01/1990 14:00;3.5939;;;;;;;
03/01/1990 15:00;2.6102;;;;;;;
03/01/1990 16:00;0;;;;;;;
03/01/1990 17:00;0;;;;;;;
03/01/1990 18:00;0;;;;;;;
03/01/1990 19:00;0;;;;;;;
03/01/1990 20:00;0;;;;;;;
03/01/1990 21:00;0;;;;;;;
03/01/1990 22:00;0;;;;;;;
03/01/1990 23:00;0;;;;;;;
04/01/1990 00:00;0;;;;;;;
04/01/1990 01:00;0;;;;;;;
04/01/1990 02:00;0;;;;;;;
04/01/1990 03:00;0;;;;;;;
04/01/1990 04:00;0;;;;;;;
04/01/1990 05:00;0;;;;;;;
04/01/1990 06:00;0;;;;;;;
04/01/1990 07:00;0;;;;;;;
04/01/1990 08:00;1.4986;;;;;;;
04/01/1990 09:00;3.6141;;;;;;;
04/01/1990 10:00;3.9554;;;;;;;
04/01/1990 11:00;3.6273;;;;;;;
04/01/1990 12:00;3.1425;;;;;;;
04/01/1990 13:00;3.2026;;;;;;;
04/01/1990 14:00;3.6206;;;;;;;
04/01/1990 15:00;2.4374;;;;;;;
04/01/1990 16:00;0;;;;;;;
04/01/1990 17:00;0;;;;;;;
04/01/1990 18:00;0;;;;;;;
04/01/1990 19:00;0;;;;;;;
04/01/1990 20:00;0;;;;;;;
04/01/1990 21:00;0;;;;;;;
04/01/1990 22:00;0;;;;;;;
04/01/1990 23:00;0;;;;;;;
05/01/1990 00:00;0;;;;;;;
05/01/1990 01:00;0;;;;;;;
05/01/1990 02:00;0;;;;;;;
05/01/1990 03:00;0;;;;;;;
05/01/1990 04:00;0;;;;;;;
05/01/1990 05:00;0;;;;;;;
05/01/1990 06:00;0;;;;;;;
05/01/1990 07:00;0;;;;;;;
05/01/1990 08:00;0.9766;;;;;;;
05/01/1990 09:00;2.12;;;;;;;
05/01/1990 10:00;2.7446;;;;;;;
05/01/1990 11:00;2.8024;;;;;;;
05/01/1990 12:00;2.4291;;;;;;;
05/01/1990 13:00;2.399;;;;;;;
05/01/1990 14:00;1.6535;;;;;;;
05/01/1990 15:00;0.6713;;;;;;;
05/01/1990 16:00;0;;;;;;;
05/01/1990 17:00;0;;;;;;;
05/01/1990 18:00;0;;;;;;;
05/01/1990 19:00;0;;;;;;;
05/01/1990 20:00;0;;;;;;;
05/01/1990 21:00;0;;;;;;;
05/01/1990 22:00;0;;;;;;;
05/01/1990 23:00;0;;;;;;;
06/01/1990 00:00;0;;;;;;;
06/01/1990 01:00;0;;;;;;;
06/01/1990 02:00;0;;;;;;;
06/01/1990 03:00;0;;;;;;;
06/01/1990 04:00;0;;;;;;;
06/01/1990 05:00;0;;;;;;;
06/01/1990 06:00;0;;;;;;;
06/01/1990 07:00;0;;;;;;;
06/01/1990 08:00;1.0249;;;;;;;
06/01/1990 09:00;3.8411;;;;;;;
06/01/1990 10:00;4.311;;;;;;;
06/01/1990 11:00;3.4924;;;;;;;
06/01/1990 12:00;1.9985;;;;;;;
06/01/1990 13:00;1.8591;;;;;;;
06/01/1990 14:00;2.039;;;;;;;
06/01/1990 15:00;1.0188;;;;;;;
06/01/1990 16:00;0;;;;;;;
06/01/1990 17:00;0;;;;;;;
06/01/1990 18:00;0;;;;;;;
06/01/1990 19:00;0;;;;;;;
06/01/1990 20:00;0;;;;;;;
06/01/1990 21:00;0;;;;;;;
06/01/1990 22:00;0;;;;;;;
06/01/1990 23:00;0;;;;;;;
07/01/1990 00:00;0;;;;;;;
07/01/1990 01:00;0;;;;;;;
07/01/1990 02:00;0;;;;;;;
07/01/1990 03:00;0;;;;;;;
07/01/1990 04:00;0;;;;;;;
07/01/1990 05:00;0;;;;;;;
07/01/1990 06:00;0;;;;;;;
07/01/1990 07:00;0;;;;;;;
07/01/1990 08:00;1.3181;;;;;;;
07/01/1990 09:00;3.2901;;;;;;;
07/01/1990 10:00;3.9139;;;;;;;
07/01/1990 11:00;3.528;;;;;;;
07/01/1990 12:00;2.6148;;;;;;;
07/01/1990 13:00;2.9727;;;;;;;
07/01/1990 14:00;2.9535;;;;;;;
07/01/1990 15:00;2.1903;;;;;;;
07/01/1990 16:00;0;;;;;;;
07/01/1990 17:00;0;;;;;;;
07/01/1990 18:00;0;;;;;;;
07/01/1990 19:00;0;;;;;;;
07/01/1990 20:00;0;;;;;;;
07/01/1990 21:00;0;;;;;;;
07/01/1990 22:00;0;;;;;;;
07/01/1990 23:00;0;;;;;;;
08/01/1990 00:00;0;;;;;;;
08/01/1990 01:00;0;;;;;;;
08/01/1990 02:00;0;;;;;;;
08/01/1990 03:00;0;;;;;;;
08/01/1990 04:00;0;;;;;;;
08/01/1990 05:00;0;;;;;;;
08/01/1990 06:00;0;;;;;;;
08/01/1990 07:00;0;;;;;;;
08/01/1990 08:00;0;;;;;;;
08/01/1990 09:00;0.1095;;;;;;;
08/01/1990 10:00;0.2844;;;;;;;
08/01/1990 11:00;0.4173;;;;;;;
08/01/1990 12:00;0.4738;;;;;;;
08/01/1990 13:00;3.0659;;;;;;;
08/01/1990 14:00;3.1893;;;;;;;
08/01/1990 15:00;2.3626;;;;;;;
08/01/1990 16:00;0;;;;;;;
08/01/1990 17:00;0;;;;;;;
08/01/1990 18:00;0;;;;;;;
08/01/1990 19:00;0;;;;;;;
08/01/1990 20:00;0;;;;;;;
08/01/1990 21:00;0;;;;;;;
08/01/1990 22:00;0;;;;;;;
08/01/1990 23:00;0;;;;;;;
09/01/1990 00:00;0;;;;;;;
09/01/1990 01:00;0;;;;;;;
09/01/1990 02:00;0;;;;;;;
09/01/1990 03:00;0;;;;;;;
09/01/1990 04:00;0;;;;;;;
09/01/1990 05:00;0;;;;;;;
09/01/1990 06:00;0;;;;;;;
09/01/1990 07:00;0;;;;;;;
09/01/1990 08:00;1.1464;;;;;;;
09/01/1990 09:00;1.2254;;;;;;;
09/01/1990 10:00;1.7845;;;;;;;
09/01/1990 11:00;3.0733;;;;;;;
09/01/1990 12:00;1.9308;;;;;;;
09/01/1990 13:00;0.5308;;;;;;;
09/01/1990 14:00;0.8143;;;;;;;
09/01/1990 15:00;0.6355;;;;;;;
09/01/1990 16:00;0;;;;;;;
09/01/1990 17:00;0;;;;;;;
09/01/1990 18:00;0;;;;;;;
09/01/1990 19:00;0;;;;;;;
09/01/1990 20:00;0;;;;;;;
09/01/1990 21:00;0;;;;;;;
09/01/1990 22:00;0;;;;;;;
09/01/1990 23:00;0;;;;;;;
10/01/1990 00:00;0;;;;;;;
10/01/1990 01:00;0;;;;;;;
10/01/1990 02:00;0;;;;;;;
10/01/1990 03:00;0;;;;;;;
10/01/1990 04:00;0;;;;;;;
10/01/1990 05:00;0;;;;;;;
10/01/1990 06:00;0;;;;;;;
10/01/1990 07:00;0;;;;;;;
10/01/1990 08:00;1.0381;;;;;;;
10/01/1990 09:00;3.4832;;;;;;;
10/01/1990 10:00;4.1121;;;;;;;
10/01/1990 11:00;4.0925;;;;;;;
10/01/1990 12:00;3.4823;;;;;;;
10/01/1990 13:00;3.3012;;;;;;;
10/01/1990 14:00;2.9753;;;;;;;
10/01/1990 15:00;1.6663;;;;;;;
10/01/1990 16:00;0;;;;;;;
10/01/1990 17:00;0;;;;;;;
10/01/1990 18:00;0;;;;;;;
10/01/1990 19:00;0;;;;;;;
10/01/1990 20:00;0;;;;;;;
10/01/1990 21:00;0;;;;;;;
10/01/1990 22:00;0;;;;;;;
10/01/1990 23:00;0;;;;;;;
11/01/1990 00:00;0;;;;;;;
11/01/1990 01:00;0;;;;;;;
11/01/1990 02:00;0;;;;;;;
11/01/1990 03:00;0;;;;;;;
11/01/1990 04:00;0;;;;;;;
11/01/1990 05:00;0;;;;;;;
11/01/1990 06:00;0;;;;;;;
11/01/1990 07:00;0;;;;;;;
11/01/1990 08:00;0.0191;;;;;;;
11/01/1990 09:00;0.1631;;;;;;;
11/01/1990 10:00;0.315;;;;;;;
11/01/1990 11:00;0.3928;;;;;;;
11/01/1990 12:00;0.4202;;;;;;;
11/01/1990 13:00;0.3718;;;;;;;
11/01/1990 14:00;0.2484;;;;;;;
11/01/1990 15:00;0.0907;;;;;;;
11/01/1990 16:00;0;;;;;;;
11/01/1990 17:00;0;;;;;;;
11/01/1990 18:00;0;;;;;;;
11/01/1990 19:00;0;;;;;;;
11/01/1990 20:00;0;;;;;;;
11/01/1990 21:00;0;;;;;;;
11/01/1990 22:00;0;;;;;;;
11/01/1990 23:00;0;;;;;;;
12/01/1990 00:00;0;;;;;;;
12/01/1990 01:00;0;;;;;;;
12/01/1990 02:00;0;;;;;;;
12/01/1990 03:00;0;;;;;;;
12/01/1990 04:00;0;;;;;;;
12/01/1990 05:00;0;;;;;;;
12/01/1990 06:00;0;;;;;;;
12/01/1990 07:00;0;;;;;;;
12/01/1990 08:00;0.6815;;;;;;;
12/01/1990 09:00;0.9769;;;;;;;
12/01/1990 10:00;2.0948;;;;;;;
12/01/1990 11:00;2.688;;;;;;;
12/01/1990 12:00;3.04;;;;;;;
12/01/1990 13:00;3.0822;;;;;;;
12/01/1990 14:00;3.9508;;;;;;;
12/01/1990 15:00;3.0115;;;;;;;
12/01/1990 16:00;0;;;;;;;
12/01/1990 17:00;0;;;;;;;
12/01/1990 18:00;0;;;;;;;
12/01/1990 19:00;0;;;;;;;
12/01/1990 20:00;0;;;;;;;
12/01/1990 21:00;0;;;;;;;
12/01/1990 22:00;0;;;;;;;
12/01/1990 23:00;0;;;;;;;
13/01/1990 00:00;0;;;;;;;
13/01/1990 01:00;0;;;;;;;
13/01/1990 02:00;0;;;;;;;
13/01/1990 03:00;0;;;;;;;
13/01/1990 04:00;0;;;;;;;
13/01/1990 05:00;0;;;;;;;
13/01/1990 06:00;0;;;;;;;
13/01/1990 07:00;0;;;;;;;
13/01/1990 08:00;0.1438;;;;;;;
13/01/1990 09:00;0.5518;;;;;;;
13/01/1990 10:00;0.9837;;;;;;;
13/01/1990 11:00;1.1234;;;;;;;
13/01/1990 12:00;1.1458;;;;;;;
13/01/1990 13:00;0.975;;;;;;;
13/01/1990 14:00;0.6334;;;;;;;
13/01/1990 15:00;0.3008;;;;;;;
13/01/1990 16:00;0;;;;;;;
13/01/1990 17:00;0;;;;;;;
13/01/1990 18:00;0;;;;;;;
13/01/1990 19:00;0;;;;;;;
13/01/1990 20:00;0;;;;;;;
13/01/1990 21:00;0;;;;;;;
13/01/1990 22:00;0;;;;;;;
13/01/1990 23:00;0;;;;;;;
14/01/1990 00:00;0;;;;;;;
14/01/1990 01:00;0;;;;;;;
14/01/1990 02:00;0;;;;;;;
14/01/1990 03:00;0;;;;;;;
14/01/1990 04:00;0;;;;;;;
14/01/1990 05:00;0;;;;;;;
14/01/1990 06:00;0;;;;;;;
14/01/1990 07:00;0;;;;;;;
14/01/1990 08:00;0.0451;;;;;;;
14/01/1990 09:00;0.3112;;;;;;;
14/01/1990 10:00;0.5242;;;;;;;
14/01/1990 11:00;0.6039;;;;;;;
14/01/1990 12:00;0.6136;;;;;;;
14/01/1990 13:00;0.4557;;;;;;;
14/01/1990 14:00;0.3591;;;;;;;
14/01/1990 15:00;0.1747;;;;;;;
14/01/1990 16:00;0;;;;;;;
14/01/1990 17:00;0;;;;;;;
14/01/1990 18:00;0;;;;;;;
14/01/1990 19:00;0;;;;;;;
14/01/1990 20:00;0;;;;;;;
14/01/1990 21:00;0;;;;;;;
14/01/1990 22:00;0;;;;;;;
14/01/1990 23:00;0;;;;;;;
15/01/1990 00:00;0;;;;;;;
15/01/1990 01:00;0;;;;;;;
15/01/1990 02:00;0;;;;;;;
15/01/1990 03:00;0;;;;;;;
15/01/1990 04:00;0;;;;;;;
15/01/1990 05:00;0;;;;;;;
15/01/1990 06:00;0;;;;;;;
15/01/1990 07:00;0;;;;;;;
15/01/1990 08:00;1.4175;;;;;;;
15/01/1990 09:00;2.9393;;;;;;;
15/01/1990 10:00;1.6376;;;;;;;
15/01/1990 11:00;3.14;;;;;;;
15/01/1990 12:00;3.7521;;;;;;;
15/01/1990 13:00;3.9648;;;;;;;
15/01/1990 14:00;2.088;;;;;;;
15/01/1990 15:00;0.9572;;;;;;;
15/01/1990 16:00;0;;;;;;;
15/01/1990 17:00;0;;;;;;;
15/01/1990 18:00;0;;;;;;;
15/01/1990 19:00;0;;;;;;;
15/01/1990 20:00;0;;;;;;;
15/01/1990 21:00;0;;;;;;;
15/01/1990 22:00;0;;;;;;;
15/01/1990 23:00;0;;;;;;;
16/01/1990 00:00;0;;;;;;;
16/01/1990 01:00;0;;;;;;;
16/01/1990 02:00;0;;;;;;;
16/01/1990 03:00;0;;;;;;;
16/01/1990 04:00;0;;;;;;;
16/01/1990 05:00;0;;;;;;;
16/01/1990 06:00;0;;;;;;;
16/01/1990 07:00;0;;;;;;;
16/01/1990 08:00;1.0759;;;;;;;
16/01/1990 09:00;3.1662;;;;;;;
16/01/1990 10:00;3.8528;;;;;;;
16/01/1990 11:00;4.0074;;;;;;;
16/01/1990 12:00;3.8995;;;;;;;
16/01/1990 13:00;3.8483;;;;;;;
16/01/1990 14:00;3.3601;;;;;;;
16/01/1990 15:00;2.469;;;;;;;
16/01/1990 16:00;0;;;;;;;
16/01/1990 17:00;0;;;;;;;
16/01/1990 18:00;0;;;;;;;
16/01/1990 19:00;0;;;;;;;
16/01/1990 20:00;0;;;;;;;
16/01/1990 21:00;0;;;;;;;
16/01/1990 22:00;0;;;;;;;
16/01/1990 23:00;0;;;;;;;
17/01/1990 00:00;0;;;;;;;
17/01/1990 01:00;0;;;;;;;
17/01/1990 02:00;0;;;;;;;
17/01/1990 03:00;0;;;;;;;
17/01/1990 04:00;0;;;;;;;
17/01/1990 05:00;0;;;;;;;
