PVSYST 8.0.19
;File;File date;Description
Progetto;Salvaplast_Project.PRJ;29/01/26 16h33;Salvaplast VLC;
Luogo geografico;Salvaplast VLC_MN82.SIT;29/01/26 16h33;Salvaplast VLC;Spain;Europe;;
Dati meteo;Salvaplast VLC_MN82_SYN.MET;29/01/26 14h24;Salvaplast VLC;Meteonorm 8.2 (2005-2020), Sat=1%;Sintetico;
Variante di simulazione;Salvaplast_Project.VC5;29/01/26 16h43;Simulazione 540_15_320;
Simulation date;;29/01/26 16h43

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;0
01/01/90 01:00;0
01/01/90 02:00;0
01/01/90 03:00;0
01/01/90 04:00;0
01/01/90 05:00;0
01/01/90 06:00;0
01/01/90 07:00;0
01/01/90 08:00;11.926
01/01/90 09:00;24.738
01/01/90 10:00;37.325
01/01/90 11:00;41.216
01/01/90 12:00;39.977
01/01/90 13:00;29.673
01/01/90 14:00;21.742
01/01/90 15:00;10.931
01/01/90 16:00;0
01/01/90 17:00;0
01/01/90 18:00;0
01/01/90 19:00;0
01/01/90 20:00;0
01/01/90 21:00;0
01/01/90 22:00;0
01/01/90 23:00;0
02/01/90 00:00;0
02/01/90 01:00;0
02/01/90 02:00;0
02/01/90 03:00;0
02/01/90 04:00;0
02/01/90 05:00;0
02/01/90 06:00;0
02/01/90 07:00;0
02/01/90 08:00;17.785
02/01/90 09:00;49.533
02/01/90 10:00;136.28
02/01/90 11:00;208.95
02/01/90 12:00;168.44
02/01/90 13:00;24.346
02/01/90 14:00;5.131
02/01/90 15:00;1.83
02/01/90 16:00;0
02/01/90 17:00;0
02/01/90 18:00;0
02/01/90 19:00;0
02/01/90 20:00;0
02/01/90 21:00;0
02/01/90 22:00;0
02/01/90 23:00;0
03/01/90 00:00;0
03/01/90 01:00;0
03/01/90 02:00;0
03/01/90 03:00;0
03/01/90 04:00;0
03/01/90 05:00;0
03/01/90 06:00;0
03/01/90 07:00;0
03/01/90 08:00;51.363
03/01/90 09:00;131.7
03/01/90 10:00;182.9
03/01/90 11:00;200.34
03/01/90 12:00;197.17
03/01/90 13:00;175.23
03/01/90 14:00;129.38
03/01/90 15:00;60.97
03/01/90 16:00;0.4398
03/01/90 17:00;0
03/01/90 18:00;0
03/01/90 19:00;0
03/01/90 20:00;0
03/01/90 21:00;0
03/01/90 22:00;0
03/01/90 23:00;0
04/01/90 00:00;0
04/01/90 01:00;0
04/01/90 02:00;0
04/01/90 03:00;0
04/01/90 04:00;0
04/01/90 05:00;0
04/01/90 06:00;0
04/01/90 07:00;0
04/01/90 08:00;43.696
04/01/90 09:00;117
04/01/90 10:00;158.76
04/01/90 11:00;178.96
04/01/90 12:00;180.31
04/01/90 13:00;159.74
04/01/90 14:00;123.91
04/01/90 15:00;55.597
04/01/90 16:00;0.697
04/01/90 17:00;0
04/01/90 18:00;0
04/01/90 19:00;0
04/01/90 20:00;0
04/01/90 21:00;0
04/01/90 22:00;0
04/01/90 23:00;0
05/01/90 00:00;0
05/01/90 01:00;0
05/01/90 02:00;0
05/01/90 03:00;0
05/01/90 04:00;0
05/01/90 05:00;0
05/01/90 06:00;0
05/01/90 07:00;0
05/01/90 08:00;48.818
05/01/90 09:00;105.28
05/01/90 10:00;120.89
05/01/90 11:00;102.73
05/01/90 12:00;141.47
05/01/90 13:00;125.69
05/01/90 14:00;64.793
05/01/90 15:00;58.557
05/01/90 16:00;3.4079
05/01/90 17:00;0
05/01/90 18:00;0
05/01/90 19:00;0
05/01/90 20:00;0
05/01/90 21:00;0
05/01/90 22:00;0
05/01/90 23:00;0
06/01/90 00:00;0
06/01/90 01:00;0
06/01/90 02:00;0
06/01/90 03:00;0
06/01/90 04:00;0
06/01/90 05:00;0
06/01/90 06:00;0
06/01/90 07:00;0
06/01/90 08:00;1.5773
06/01/90 09:00;4.0392
06/01/90 10:00;27.025
06/01/90 11:00;12.525
06/01/90 12:00;16.728
06/01/90 13:00;132.7
06/01/90 14:00;116.86
06/01/90 15:00;62.536
06/01/90 16:00;1.6779
06/01/90 17:00;0
06/01/90 18:00;0
06/01/90 19:00;0
06/01/90 20:00;0
06/01/90 21:00;0
06/01/90 22:00;0
06/01/90 23:00;0
07/01/90 00:00;0
07/01/90 01:00;0
07/01/90 02:00;0
07/01/90 03:00;0
07/01/90 04:00;0
07/01/90 05:00;0
07/01/90 06:00;0
07/01/90 07:00;0
07/01/90 08:00;47.07
07/01/90 09:00;123.07
07/01/90 10:00;160.68
07/01/90 11:00;182.19
07/01/90 12:00;182.31
07/01/90 13:00;164.3
07/01/90 14:00;126.54
07/01/90 15:00;59.395
07/01/90 16:00;1.3582
07/01/90 17:00;0
07/01/90 18:00;0
07/01/90 19:00;0
07/01/90 20:00;0
07/01/90 21:00;0
07/01/90 22:00;0
07/01/90 23:00;0
08/01/90 00:00;0
08/01/90 01:00;0
08/01/90 02:00;0
08/01/90 03:00;0
08/01/90 04:00;0
08/01/90 05:00;0
