Config,N_Modules,Tilt_deg,InvPower_kW,PV_Production_kWh,BESS_min_kWh,UnmetLoad_noBatt_kWh,CAPEX_EUR,Savings_EUR_Y1,OPEX_EUR_Y1,LCOE_EUR_kWh,NPV_EUR
Salvaplast_Project_VC2_HourlyRes_504_10_300,504,10,300,477078.5675,1546.875,63314.6638500004,1170295.1125,22147.18,10952.6175,1.21956882380716,-1428454.98699166
Salvaplast_Project_VC2_HourlyRes_440_20_250,440,20,250,432751.3063,1634.46044921875,63986.6661500003,1157640.70629883,22147.18,10839.8720214844,1.22872559637769,-1442855.46930429
Salvaplast_Project_VC2_HourlyRes_504_20_300,504,20,300,495058.4296,1564.02587890625,63687.4390000004,1178553.26069336,22147.18,11029.7964550781,1.22953051693328,-1444121.33499382
Salvaplast_Project_VC2_HourlyRes_540_10_320,540,10,320,501361.3951,1532.470703125,63165.7819000004,1192634.64355469,22147.18,11172.9181640625,1.2333768162396,-1450170.25285249
Salvaplast_Project_VC2_HourlyRes_540_0_320,540,0,320,463839.4276,1532.71484375,62606.9469000004,1192752.19726562,22147.18,11174.016796875,1.23351861970047,-1450393.26136498
Salvaplast_Project_VC2_HourlyRes_504_25_300,504,25,300,496310.63,1575.25634765625,63915.4949000003,1183960.73139648,22147.18,11080.3335644531,1.23605347613331,-1454379.72656818
Salvaplast_Project_VC2_HourlyRes_504_30_300,504,30,300,496252.8158,1588.0126953125,64337.8123000003,1190102.91279297,22147.18,11137.7371289063,1.24346270696377,-1466031.92134559
Salvaplast_Project_VC2_HourlyRes_540_20_320,540,20,320,517697.2061,1551.45263671875,63572.2825000004,1201774.44458008,22147.18,11258.3368652344,1.24440203532225,-1467509.1646983
Salvaplast_Project_VC2_HourlyRes_440_10_250,440,10,250,414891.4319,1663.818359375,63674.9616000004,1171776.54003906,22147.18,10971.9826171875,1.24577746254732,-1469672.24293076
Salvaplast_Project_VC2_HourlyRes_440_25_250,440,25,250,435796.0186,1667.29736328125,64242.5931000003,1173451.68041992,22147.18,10987.6381347656,1.24779816186472,-1472850.11423369
Salvaplast_Project_VC2_HourlyRes_540_25_320,540,25,320,517163.9215,1563.96484375,63798.4163000003,1207799.07226562,22147.18,11314.641796875,1.25166946269184,-1478938.35096322
Salvaplast_Project_VC2_HourlyRes_504_35_300,504,35,300,488632.4374,1608.154296875,64667.9096000003,1199801.09394531,22147.18,11228.3743359375,1.25516149248555,-1484430.1236257
